宸纶,1.帝王的诏书﹑制令。
纵辔,1.谓放开马缰，纵马奔驰。
纵遣,"1.释放遣发。 
2.即使。"
纵情,尽情，不加限制、约束纵情欢呼。
纵囚,1.旧时官府暂时释放在狱罪囚还家，限期自动归狱。史书载此，以为德政。宋欧阳修撰《纵囚论》以为不足为治天下之常法。参阅《后汉书．独行传．戴封》﹑《新唐书．刑法志》。
纵然,连词。即使纵然酷暑严寒，大家也不迟到早退｜天气纵然干旱，采取了有力措施，还是可以夺取丰收。
纵饶,1.纵令，即使。
纵任,1.放纵;听任。
纵容,放纵，容忍，该制止的也不制止一味纵容对孩子没好处。
纵舍,"1.亦作""纵舍""。 
2.追踪与舍弃。 
3.释放;宽放。"
纵深,"1.军队作战地域纵向的深度。 
2.用于其他地区的纵向长度或深度。"
纵使,连词。即使纵使相逢应不识，尘满面，鬓如霜。
纵适,1.恣意安适。
纵释,1.谓宽容纵放。
纵黍尺,1.古代长度计算单位。以中等黍粒为准，百黍纵向长度相累为一尺。
纵肆,"1.放肆;放纵。 
2.谓文笔奔放。"
纵送,1.本谓射箭与逐禽。形容奔驰之貌。
纵绥,1.追赶败退的军队。
纵汰,1.谓过分放纵。
纵谈,毫无拘束地随意谈论纵谈天下大事。
纵谭,"1.见""纵谈""。"
纵体,"1.肢体轻举貌。 
2.谓容止不加检束。 
3.谓衣不约体。"
纵替,1.松懈废弛。
纵脱,"1.放纵，不受拘束。 
2.释放。"
纵心,1.纵任心意。
纵性,1.犹任性。
纵言,1.广泛谈论。
纵佚,"1.见""纵逸""。"
纵逸,"1.亦作""纵佚""。恣纵放荡。 
2.豪迈奔放。"
纵意,1.任意。谓思想毫无拘束。
纵溢,1.恣肆过度。
纵踊,"1.见""纵臾""。"
纵臾,"1.亦作""纵踊""。 
2.怂恿;鼓动别人做坏事。"
纵欲,"1.亦作""纵欲""。 
2.谓放纵私欲，不加克制。"
纵棹,1.划桨行船。
纵姿,"1.见""纵恣""。"
纵恣,肆意放纵纵恣无厌。
纵纵,"1.急遽貌。 
2.众多貌。"
昮苍,1.苍天，上苍。
昮穹,1.苍天。
昮天,"1.泛指天。 
2.特指秋天。"
昮宇,1.秋天。
昮云,1.秋天的云。
粽熬将军,1.对鳝鱼的戏谑称呼。
粽子,汉、布依等族的端午节食品。相传是为了纪念屈原。主料为糯米，馅为豆沙、枣泥、火腿、咸肉、小枣、赤豆等，用竹叶或苇叶裹成。也有无馅的纯米粽。一般一两一只，形状有角、锥、茭、筒、秤锤等。
瘲瘛,1.小儿惊风痉挛之病。
縦(緪、絚）,〈方〉粗绳索。
邹查,"1.小语声。 
2.凶狠貌。"
邹城市,在山东省西南部、京沪铁路线上。为我国历史文化名城。1992年设市。人口108万(1995年)。有煤等矿产。名胜古迹有峄山、孟庙、孟林、孟府、邾国故城遗址和钢山、铁山的北朝石刻。
邹忌讽齐王纳谏,散文篇名。载《战国策·齐策》，篇题后人所加。齐人邹忌貌美而不如城北徐公，但他的妻、妾、客人都因不同原因，反说徐公不如他。邹忌见到徐公，自叹不如，由此联想到国君的过失也会因臣子的私欲而受到掩盖，因而建议齐王接纳臣民的劝谏。齐王从之，国家因此提高了声望。文章语言精炼，善于运用排比、层递的手法。
邹夹,1.《春秋邹氏传》和《夹氏传》的并称。
邹鲁,"1.邹国﹑鲁国的并称。《庄子．天地》""其在《诗》《书》《礼》《乐》者﹐邹鲁之士﹐缙绅先生﹐多能明之。""邹，孟子故乡;鲁，孔子故乡◇因以""邹鲁""指文化昌盛之地，礼义之邦。 
2.借指孔孟。"
邹律,"1.相传战国齐人邹衍精于音律，吹律能使地暖而禾黍滋生。《列子．汤问》""微矣子之弹也！虽师旷之清角，邹衍之吹律，亡以加之。""张湛注""北方有地，美而寒，不生五谷。邹子吹律暖之，而禾黍滋也。""后因以""邹律""喻带来温暖与生机的事物。"
邹马,"1.汉邹阳和司马相如的并称。南朝齐谢杋《拟宋玉》""邹马之宾咸至，申穆之体已酬。""后作为著名文士的通称。"
邹枚,"1.汉邹阳﹑枚乘的并称。北魏郦道元《水经注．睢水》""梁王与邹﹑枚﹑司马相如之徒极游于其上。""两人皆以才辩著名当时◇因以""邹枚""借指富于才辩之士。"
邹孟,1.孟子为邹人，故称。
邹容(1885-1905),近代民主革命烈士。四川巴县(今属重庆市)人。1902年留学日本，参加反清活动。次年回国，在上海写成《革命军》，宣传革命，号召推翻清朝统治，建立中华共和国。苏报案发生后，被判刑◇病死狱中，年仅二十岁。有《邹容文集》。
邹生,1.指邹衍。
邹氏律,"1.同""邹律""。"
邹书,"1.西汉邹阳为梁孝王门客时，被谗下狱，于狱中上梁王书申冤，因而获释。见《史记．鲁仲连邹阳列传》◇因以""邹书""为上书鸣冤的典故。"
邹搜,"1.形容容貌难看。 
2.犹言过分。"
邹谭,"1.见""邹衍谈天""。"
邹韬奋(1895-1944),新闻记者，出版家。原名恩润，江西余江人。1921年毕业于上海圣约翰大学。曾主编《生活周刊》。先后创办生活书店、《大众生活》周刊、《生活日报》、《抗战》三日刊。抗日战争爆发前后担任过中国民权保障同盟和全国各界救亡联合会执行委员。曾与沈钧儒等六人被国民党政府逮捕，史称七君子事件”。病逝后被中共中央追认为中国共产党党员。有《韬奋全集》。
邹衍谈天,"1.《史记．孟子荀卿列传》""驺衍之术迂大而闳辩;奭也文具难施……故齐人颂曰'谈天衍，雕龙奭。'""后因以""邹衍谈天""喻善辩。邹，通""驺""。"
邹缨齐紫,"1.《韩非子．外储说左上》""齐桓公好服紫，一国尽服紫，当是时也，五素不得一紫，桓公患之……管仲曰'君欲何不试勿衣紫也，谓左右曰吾甚恶紫之臭。'于是左右适有衣紫而进者，公必曰'少却，吾恶紫臭。'公曰'诺。'于是日郎中莫衣紫，其明日国中莫衣紫，三日境内莫衣紫也。""又""邹君好服长缨，左右皆服长缨，缨甚贵，邹君患之，问左右，左右曰'君好服，百姓亦多服，是以贵。'君因先自断其缨而出，国中皆不服长缨。""后因以""邹缨齐紫""为上行下效之典。"
邹子,1.指战国齐人邹衍。
邹子律,"1.同""邹律""。"
驺从,1.古时贵族的骑马的侍从。
驺殿,"1.官员出行的随从。古代官员出行，前后都有骑从喝道，在前称""呵""，在后称""殿""。"
驺发,"1.发射良箭。驺，通""菆""。"
驺喝,1.贵官出行时传呼喝道的差役。
驺哄,1.贵官出行时引马喝道的差役。
驺驾,1.犹车驾。敬美之辞。
驺珂,1.马勒上的饰物。
驺吏,1.骑马的侍从。
驺隶,1.驺仆。
驺列,1.仪卫。
驺奴,1.旧时驾驭车马的奴仆。
驺辔,"1.代称车骑。 
2.指驾驭车马的人。"
驺仆,1.驾驭车马的仆役。
驺骑,1.驾驭车马的骑士。
驺傔,1.骑马驾车的侍从差役。
驺人,1.为长官驾驭车马的人。
驺矢,"1.良箭。驺，通""菆""。"
驺士,1.即驺人。
驺竖,1.驺仆。
驺寺,1.骑从侍役。
驺僮,1.驺仆。
驺吾,1.兽名。即驺虞。
驺伍,1.指马步差役。
驺响,1.车马声。
驺牙,1.兽名。即驺虞。
驺虞,"1.传说中的义兽名。 
2.天子囿中掌鸟兽的官。 
3.古乐曲名。"
驺虞幡,1.一种绘有驺虞图形的旗帜，用以传旨解兵。
驺虞符,1.一种饰有驺虞图形的传信符。
驺虞幢,1.驺虞幡。
驺舆,1.犹驺驾。
驺驭,"1.驾驭车马的侍从。 
2.指车马。"
驺御,"1.驾驭车马的人。 
2.指车马﹑随从。"
驺卒,1.掌管车马的差役。亦泛指一般仆役。
诹辰,1.犹诹吉。
诹定,1.商定。
诹度,1.商议斟酌。
诹访,1.咨询﹔征询。
诹吉,1.选择吉日。
诹律,1.查考经律。
诹谋,1.谋议﹔商议。
诹日,1.商量选择吉日。
诹询,1.咨询﹔询问。
诹议,1.谋议。
诹治,1.谓商议治理国家。
诹咨,1.咨询。
诹谘,"1.谋议。 
2.象声词。"
诹訾,1.星次名。即娵訾。
陬见,1.浅陋之见﹐一孔之见。
陬落,"1.村落﹐穷乡僻壤。 
2.部落。"
陬芒,1.边远僻小之地。
陬澨,1.僻远处。犹言天涯海角。
陬隧,1.边邑的通道。
陬维,1.边隅﹐角隅。
陬邑,1.边远乡邑。
陬喁,"1.南朝宋刘义庆《世说新语．排调》""蛮名鱼为娵隅。""娵﹐同""陬""◇因以""陬喁""指鱼。"
陬隅,"1.雝隅﹐室内西南角。 
2.僻远之地。"
陬隅句,"1.南朝宋刘义庆《世说新语．排调》﹕""郝隆为桓公南蛮参军﹐三月三日会﹐作诗。不能者﹐罚酒三升。隆初以不能受罚﹐既饮﹐揽笔便作一句云﹕'娵隅跃清池。'桓问﹕'娵隅是何物?'答曰﹕'蛮名鱼为娵隅。'桓公曰﹕'作诗何以作蛮语?'隆曰﹕'千里投公﹐始得蛮府参军﹐那得不作蛮语也?'""娵﹐同""陬""◇以""陬隅句""借指蛮语。"
陬月,1.农历正月的别称。
陬觜,"1.见""陬訾""。"
陬訾,"1.亦作""陬觜""。 
2.星名。 
3.古天文名词。十二次之一。古代以岁星在十二次的位置纪年。"
镞砺括羽,"1.比喻人刻苦磨练﹐力求精进。括羽﹐用羽毛装束箭尾。语本《孔子家语．子路初见》﹕""子路曰﹕'南山有竹﹐不柔自直﹐斩而用之﹐达于犀革。以此言之﹐何学之有?'孔子曰﹕'括而羽之﹐镞而砺之﹐其入之不亦深乎?'"""
镞镂,1.雕刻。
镞矢,"1.一种轻疾而锋利的箭。 
2.指大箭头的箭。"
镞镞,"1.挺拔貌。 
2.突出貌。 
3.锐利貌。 
4.簇拥貌。镞﹐通""簇""。"
诅楚,"1.见""诅楚文""。"
诅楚文,"1.秦国石刻。内容为秦王祈求天神制克楚兵﹐复其边城﹐故后世称""诅楚文""。据考证﹐约为秦惠文王和楚怀王时事。已发现三石﹕一为""巫咸""﹐一为""大沈厥湫""﹐一为""亚驼""﹐宋时先后在不同的地方出土。"
诅恨,1.诅咒﹑怨恨。
诅詈,1.诅咒﹔咒骂。
诅骂,1.咒骂。
诅盟,"1.誓约。 
2.谓歃血结盟。"
诅让,1.咒骂责备。
诅师,1.即巫师。
诅誓,1.犹盟誓。
诅书,1.诅咒的文字。
诅啼,1.咒骂哭叫。
诅魇,1.谓用诅咒来害人。
诅咒,原指祈求鬼神降祸于所恨之人，后泛指咒骂否则厥口诅咒｜她要诅咒这不平的世道。
诅祝,"1.祈求鬼神加祸于敌对的人。 
2.周官名。"
阻隘,1.险要之处。
阻碍,①挡住；使不顺利意外塌方阻碍了隧道工程的如期完成。②起阻碍作用的事物一路并无阻碍。
阻拗,1.阻挡违拗。
阻奥,"1.深奥难通。 
2.谓道途阻隔遥远。"
阻兵,1.仗恃军队。
阻并,1.犹阻抑﹐克制。
阻卜,1.辽金对鞑靼的称呼。
阻长,"1.《诗．秦风．蒹葭》﹕""溯洄从之﹐道阻且长。""后因以""阻长""形容道路艰险而遥远。"
阻迟,1.推延﹐拖延。
阻挫,1.阻挡挫折。
阻带,1.谓似带环绕而与周围阻隔。
阻当,1.阻止﹔拦住。
阻挡,1.阻止﹔拦住。
阻颠,1.殂落颠蹶。死的婉称。
阻阨,"1.亦作""阻阸""。 
2.据守险要。 
3.阻拦﹔扼断。"
阻扼,1.犹阻塞。
阻阸,"1.见""阻阨""。"
阻遏,阻挡；阻止臭氧层阻遏了过量的紫外线射向地球｜大势所趋，不可阻遏。
阻乏,1.阻止和减少。
阻防,1.阻拦防守。
阻风,1.被风所阻。
阻格,"1.阻挠﹐阻碍。 
2.抜格不通﹐困难。 
3.半途而废。"
阻隔,1.阻挡隔绝。
阻梗,①堵塞；不通畅肠道阻梗。②阻挠；使不顺利迁移之事屡遭阻梗，不得已而放弃。
阻固,"1.险要和坚固的防御工事。 
2.险要和坚固。"
阻害,1.阻碍妨害。
阻阂,1.阻隔。
阻坏,1.从中阻挠而使遭破坏。
阻击,1.以防御手段阻止敌人的增援﹑逃跑或进攻。
阻饥,"1.亦作""阻饥""。 
2.《书．舜典》﹕""帝曰﹕'弃﹐黎民阻饥。汝后稷﹐播时百谷。'""孔传﹕""阻﹐难﹔播﹐布也。众人之难在于饥。""后以""阻饥""指饥饿。"
阻积,1.谓险阻众多。
阻羁,1.被阻而稽留不进。
阻疾,1.久病﹐被疾病所困。
阻甲,1.犹拥兵。
阻间,1.阻隔。
阻艰,1.险阻艰难。
阻节,1.阻塞不通。
阻诘,1.阻挡盘问。
阻截,1.拦截。
阻藉,1.依恃﹔凭借。
阻沮,1.阻止。
阻拒,1.推却﹔拒绝。
阻绝,隔断；隔绝关山阻绝｜兵戈阻绝老江边。
阻絶,"1.隔断﹔隔绝。 
2.拒绝。"
阻峻,1.险要高峻。
阻抗,1.阻挡抵抗。
阻抗匹配,使负载阻抗能从传输线、四端网络或电子设备获取最大功率输出的措施。负载阻抗在应用于传输线时需等于其特性阻抗，在供电电路中需等于电源内阻。若不等，需接入阻抗变换网络，使之匹配。
阻旷,1.阻隔﹐隔绝。
阻睽,1.阻隔分离。
阻阔,"1.阻隔遥远。 
2.阔别﹔久别。"
阻拦,1.阻挡﹔阻止。
阻力,"1.妨碍物体运动的作用力。 
2.泛指阻碍事物发展或前进的外力。"
阻辽,1.犹阻远﹐辽隔。
阻留,"1.受阻而留下。 
2.指劝阻挽留。"
阻路,1.阻塞要道。
阻乱,1.谓武人拥兵或恃险作乱。
阻命,1.抗拒王命。谓造反。
阻难,①艰难险阻屡经阻难。②(-ｎàｎ)阻挠留难孩子要出去闯一番事业是好事，别横加阻难。
阻挠,阻止；暗中破坏，使不顺利或不成功百般阻挠｜敢有阻挠军务者斩。
阻尼振动,振动(或振荡)系统在振动(或振荡)过程中受到阻力作用，因能量损失而使振幅逐渐减小的振动。如单摆振动时受空气阻力作用，因损失机械能而使振幅逐渐减小的振动。振荡电路中由于存在电阻和电磁辐射，因损失电磁能而使振幅逐渐减小的振动。
阻泥,1.阻止。
阻陪,1.古时贺启中的套语。犹言僻守遐荒﹐不获随例拜贺。
阻期,1.因受阻而耽误约期。
阻弃,1.荒废。
阻浅,1.搁浅。
阻峭,"1.谓凭借陡峭的高山。 
2.指险峻的高山。"
阻情,1.碍着情面﹔难为情。
阻扰,1.阻挠扰乱。
阻鋭,1.高而危险。
阻塞,"1.水流﹑交通等因被某物堵塞而不能通过。 
2.闭塞不通。 
3.使堵塞不通。用于抽象事物。"
阻丧,"1.沮丧失色。 
2.引申为软弱无力貌。"
阻山,1.谓凭借高山的险阻。
阻山带河,1.靠山环河。谓形势险要。
阻深,1.险阻幽深。
阻恃,1.凭借﹔仗恃。
阻陿,1.谓狭窄不易通过。
阻险,"1.亦作""阻崄""。 
2.险阻。"
阻崄,"1.见""阻险""。"
阻限,1.阻隔。
阻心,1.谓使两心相隔。
阻敻,1.险阻遥远。
阻修,"1.亦作""阻修""。 
2.谓路途阻隔遥远。"
阻寻,1.排除险阻寻访。
阻疑,1.疑虑﹐疑惑。
阻异,1.谓意见不和﹐产生嫌隙。
阻抑,1.阻止抑制。
阻纡,1.阻隔而曲折。形容路途遥远。
阻郁,1.心怀郁结﹐中焦阻塞。
阻御,1.阻止。
阻远,1.险阻而遥远。
阻越,1.阻隔。
阻战,1.拒战﹐抵御抗击。
阻障,1.阻碍﹔障碍。
阻折,1.险阻曲折。
阻止,1.阻拦制止。
阻窒,1.受到阻碍而窒息。
阻滞,1.阻碍滞留。
阻众,1.仗恃众多。
组成,1.谓由部分或个体组合成为整体。
组带,1.丝织系带。
组绂,1.印绶。借指官位。
组稿,1.编辑部门按计划向作者约定稿件。
组歌,1.题材相同﹑内容有联系的一组(几首)歌词。郭小川有《长江组歌》。
组阁,"1.组织内阁。由内阁总理(或首相)和若干阁员组成国家最高行政机关。 
2.泛指组织领导班子。"
组圭,"1.见""组珪""。"
组珪,"1.亦作""组圭""。 
2.组带及玉制符信。古代贵官的服饰器物。"
组合,①由几个部分或个体结合成整体组合起来｜劳动组合。②从m个不同的元素里，每次取出n个元素，不管以怎样的顺序并成一组，均称为组合。其所有不同组合的种数用符号c琻璵表示，c琻璵＝p琻璵p璶＝m(m-1)…(m-n+1)n!＝m!n!(m-n)!。此外，规定c0璵＝1。
组画,1.用几幅图画来表现一个题材的绘画形式。彼此之间没有明显的连续关系，但又共同成为某一主题的组成部分。
组缋,1.丝织品上的彩色刺绣或绘饰。
组甲,"1.甲衣。用丝绳带联缀皮革或金属的甲片。《管子．五行》""天子出令，命左右司马衍组甲厉兵，合什为伍，以修于四境之内。""尹知章注""组甲，谓以组贯甲也。""一说，组甲为漆甲成组文。见《左传．襄公三年》""组甲三百""晋杜预注。 
2.借指士兵﹑军队。"
组件,1.作为机器﹑仪表等的组成部件或零件。
组建,1.组织建立(机构﹑队伍等)。
组就,1.古代冕旒上彩色丝绳串。
组丽,"1.亦作""组纚""。 
2.华美。用以形容丝织品或诗文。"
组练,"1.《左传．襄公三年》""﹝楚子重﹞使邓廖帅组甲三百，被练三千以侵吴。""孔颖达疏引贾逵曰""组甲，以组缀甲，车士服之;被练，帛也，以帛缀甲，步卒服之。""组甲﹑被练皆指将士的衣甲服装◇因以""组练""借指精锐的部队或军士的武装军容。 
2.组带。"
组冕,1.组绶和冠冕。借指官位。
组佩,"1.见""组佩""。"
组曲,1.由若干器乐曲组成的一组乐曲。将戏剧音乐﹑舞剧或歌剧中若干完整﹑精彩的段落或乐曲辑成套曲的，也称组曲，如格里格的《培尔．金特组曲》﹑里姆斯基一科萨科夫的《金鸡组曲》﹑柴可夫斯基的《胡桃夹子组曲》。
组诗,1.指同一诗题﹑内容互相联系的几首诗。
组绶,"1.古人佩玉，用以系玉的丝带。 
2.借指官爵。"
组帷,1.彩色丝帐。
组纚,"1.见""组丽""。"
组绣,1.华丽的丝绣服饰。
组紃,"1.丝绳带。 
2.古指妇女从事的女红。"
组缨,"1.古代系冠的丝带。其色因地位而异。 
2.借指官位。"
组帐,1.华美的帷帐。
组织,①安排、整顿使成系统重新组织｜组织起来。②编制成的集体群众组织｜学生组织。③系统；配合关系组织松散｜组织庞大。④在多细胞生物体内，由一群形态和机能相同的细胞，加上细胞间质组成的基本结构。生物体的进化程度越高，组织分化就越明显。种子植物有分生组织和永久组织；高等动物有上皮组织、结缔组织、肌肉组织和神经组织。⑤织物的结构形式平纹组织｜斜纹组织。
组织法,1.专门规定某类国家机关的组成和活动原则的法律。实体法的一种。如《中华人民共和国全国人民代表大会组织法》﹑《中华人民共和国国务院组织法》等。
组织路线,政党进行组织工作的根本原则和根本方针。在思想路线和政治路线的基础上制订，是实现思想路线和政治路线的保证。中国共产党的组织路线，包括健全民主集中制，改善组织机构和干部制度，按照德才兼备的原则盐干部，维护党的纪律，坚持党员标准，积极慎重地发展党员，加强党与人民群众的联系等。
组织生活,1.党派﹑团体的成员每隔一段时间聚集在一起进行的交流思想﹑讨论问题等的活动。
组织学,又称显微解剖学”。利用生物显微镜技术研究生物体微细结构及其与功能的关系的一门科学。现代的组织学研究，已由光学显微镜水平进入电子显微镜水平，由形态结构观察发展到把结构和功能结合起来研究。
组织液,"1.促进血液和组织细胞进行物质交换的液体。存在于组织的空隙间，是由血浆经过毛细管壁过滤进入组织空隙而形成的。 
2.用动植物的某些组织制成的液体药剂。注射到人体内能治疗某些慢性病。例如用胎盘制成的组织液能治神经衰弱﹑胃溃疡等。"
组装,1.把散件组合装配成整机。
俎豆,俎和豆。古代祭祀时盛食物的礼器。引申为祭祀、奉祀俎豆之┦拢死乃俎豆之。
俎簋,1.俎和簋，为古代祭祀时所用的两种礼器。俎载牲体，簋盛黍稷。
俎醢,"1.剁成肉酱。 
2.肉酱。"
俎机,"1.见""俎几""。"
俎几,"1.亦作""俎机""。 
2.俎形如几，故称。古代祭祀﹑燕飨时所用的礼器。 
3.俎形如几，故称。切肉用的砧板。"
俎拒,1.俎足中央的横木。
俎上肉,"1.砧板上的肉，谓任人宰割，无可逃避。语出《史记．项羽本纪》""如今人方为刀俎，我为鱼肉""后因以""俎上肉""比喻任人欺压蹂躏而无力反抗者。"
俎实,1.俎上所盛祭献的食品。
俎味,1.指祭祀用食品。因牲体置于俎上，故称。
頾蹙,"1.谓皱眉头。语本《孟子．梁惠王下》""举疾首蹙頾而相告。"""
頿发,1.胡须和头发。
頿王,1.指周灵王。相传其生而有髭，故名。
鶅雉,1.古代指东方出产的野鸡。
籽粒,"1.谷类的种子。 
2.粮食;粮食的颗粒。"
籽棉,从棉铃中采摘下的带籽的棉朵。
籽种,1.种子。
子,1.犹怎么﹑作么。
子爱,1.慈爱;爱如己子。
子安,"1.旧传陵阳子明钓得白龙，拜而放之◇三年，龙迎子明上陵阳山◇百馀年，山去地千馀丈，大呼下人令上山半，告言""溪中子安当来问，子明钓车在否?""后二十馀年，子安死，葬山下，有黄鹤栖其冢树，鸣呼子安。见汉刘向《列仙传·陵阳子明》。 
2.传说中的仙人。"
子本,1.利息和本金。
子不语,又名《新齐谐》。笔记小说集。清代袁枚作。三十四卷。书名取自《论语·述而》子不语怪力乱神”，以示专讲神怪之意。内容多调侃揶揄鬼神、术士、佛道，有反封建礼教、抨击理学的思想倾向。叙事自然流畅，章法变化多端。
子部,也称丙部”。中国古代图书分类名称。四部的第三部。收诸子百家和佛道宗教著作。《隋书·经籍志》分为儒家、道家、法家、名家、墨家、纵横家、杂家、农家、小说家、兵家、天文、历数、五行、医方十四类。《四库全书》分为儒家、兵家、法家、农家、医家、天文算法、术数、艺术、谱录、杂家、类书、小说家、释家、道家十四类。
子产,1.春秋时郑大夫公孙侨的字。一字子美。郑简公十二年为卿，二十三年起执政，治郑多年，有政绩。郑声公五年卒。郑人悲之如亡亲戚。
子厂,"1.指新矿。 
2.指分厂。"
子车,1.复姓。春秋时秦国有子车奄息。见《左传．文公六年》。
子城,1.大城所属的小城，即内城及附郭的瓮城或月城。
子充,1.原为人名，郑国的美男子。亦以谓美好的人。
子大夫,"1.古代国君对大夫﹑士或臣下的美称。 
2.用作一般官员之间的敬称。"
子代,生物体通过有性繁殖或杂交产生的后代。第一代称为子一代”，用符号f1表示；第二代称为子二代”，用符号f2表示。
子弹,1.即枪弹。又弹壳﹑底火﹑发射药﹑弹头四部分组成。发射时由撞针撞击底火，使发射药燃烧，产生气体将弹头推出。
子党,1.儿女辈。
子道,1.子女对父母应遵循的道德规范。
子堤,"1.见""子埝""。"
子地,1.北方。
子弟,①弟与子、侄等。与父兄”相对子弟亦何预人事。②年轻的一代。与父老”相对江东子弟｜纨fd35Ｗ拥埽子弟兵。③弟子；学生使其子弟为卿。
子弟兵,"1.旧指由领兵将帅本乡本土壮勇所组成的军队。 
2.现代对人民军队的亲热称呼。"
子弟军,"1.唐元和年间，太尉李愬为魏博节度使，下令抡材于辕门，取大将家翘秀者为""子弟军""，列于诸军校之上。见唐刘禹锡《唐故邠宁庆等州节度观察处置使史公神道碑》。"
子弟书,清代曲艺形式。因创始于满族八旗子弟，故名。曾流行于北京和东北各地。清乾隆年间形成，清末衰亡。有东城调、西城调两大流派。表演时以八角鼓击节。对单弦、东北大鼓等的形成有直接影响。
子店,1.犹分店。
子都,"1.古美男子名。 
2.即冯子都『乐府诗《羽林郎》中的美女名。"
子鹅,1.幼鹅，嫩鹅。
子烦,1.中医学病名。指妇女妊娠期中出现的烦躁心悸的病证。
子房,"1.西汉开国大臣张良的字。曾行刺秦始皇未遂，逃亡下邳。秦末农民战争中为刘邦重要谋士;汉朝建立，封留侯。 
2.被子植物雌蕊下面膨大的部分，里面有胚珠。子房发育成果实，胚珠发育成种子。"
子服,1.复姓。春秋时鲁国有子服景伯。见《国语．鲁语下》。
子父,"1.父与子。 
2.指父与女。"
子妇,"1.儿子与儿媳妇。 
2.指儿媳妇。"
子绀钱,1.古钱名『时所铸。
子个,1.语气助词。表示叮嘱﹑希望，或加强语气。
子公,"1.汉陈汤的字。西汉成帝时，汤为车骑将军王音所信用。郡守陈咸曾多次送汤财物，给汤写信，以求""得入帝城""◇竟征为少府。事见《汉书·陈咸传》。"
子姑,1.传说中的神名。即紫姑神。也称坑三姑娘。相传为寿阳李景之妾，为景妻所妒，常役以秽事，于正月十五日含恨而死。见南朝宋刘敬叔《异苑》卷五。自南朝以来即有迎紫姑问休咎之俗。
子谷,1.粟谷;未舂过的稻谷。
子管里,1.犹言只管的。
子规,杜鹃鸟的别名深山又闻子规啼。
子韩,1.复姓。春秋时齐国有子韩晳。见《左传．昭公十四年》。
子户,1.由一户人家分出去的户头。
子皇帝,1.即儿皇帝。指在异族统治者控制下的傀儡皇帝。
子惠,1.慈爱;施以仁惠。
子鸡,1.即童子鸡。小而嫩的鸡。
子集,集合论的基本概念之一。如果集a的任一元素都是集b的元素，则称集a为集b的一个子集，记作a羈或b耡，读作a包含于b”或b包含a”。如果a是b的子集，且b中至少含有一个不属于a的元素，则称a是b的真子集”，记作a糱或b絘。任一集合都是它本身的子集，空集是任何集合的子集。
子姜,1.初生的嫩姜。
子将,1.唐武官名。隶属于大将之下，掌布列行阵﹑金鼓及部署卒伍的副将﹑偏将。
子金,"1.利息。对""母金""而言。"
子衿,"1.《诗·郑风》篇名。《诗序》以为刺""学校废""，谓""乱世则学校不修焉""。朱熹集传则说""此亦淫奔之诗。"" 
2.《诗·郑风·子衿》""青青子衿，悠悠我心。""毛传""青衿，青领也。学子之所服。""后因称学子﹑生员为""子衿""。"
子晋,1.王子乔的字。神话人物。相传为周灵王太子，喜吹笙作凤凰鸣，被浮丘公引往嵩山修炼，后升仙。
子鹃,1.即杜鹃鸟。
子卷,1.书中总卷次下每卷再细分的小卷。
子爵,1.古代五等爵位的第四等。
子窠,1.古代装在突火枪中的火药弹。纸制，实以火药，伏以引线，借火药燃烧产生的气体推射而出，射击敌人。开日后子弹的先声，是火器史上的一项重要发明。
子客,1.儿子的宾客。
子口,"1.瓶﹑罐﹑箱﹑匣等器物上跟盖相密合的部分。 
2.旧中国海关征收国内关税，以内地常关﹑厘卡所在地为""子口""，与""母口""(海关所在口岸)相对。"
子口税,"1.旧中国海关征收的一种国内关税。凡进口洋货运销中国内地或出口土货从内地运销国外，除在口岸海关完纳值百抽五的进口税或出口税外，另缴
2.5%的子口税，以代替沿途所经各内地关﹑卡应征的税﹑捐和厘金。这种代替内地关﹑卡应征的各种捐税称""子口税""。子口税的开征，始于1858年中英《天津条约》的规定，其目的为便于帝国主义在中国内地倾销洋货和掠夺原料。1931年，子口税与厘金同时废止。"
子剌,1.象声词。
子来,1.谓民心归附，如子女趋事父母，不召自来，竭诚效忠。
子利,1.利息。对本金而言。
子粒,1.粮食作物穗上的种子或豆类作物豆荚内的豆粒。亦泛指粮食。
子谅,"1.慈爱诚信。《礼记·乐记》""致乐以治心，则易直子谅之心油然生矣。""孔颖达疏""子谓子爱，谅谓诚信，言能深远详审此乐以治其心，则和易正直子爱诚信之心，油油然从内而生矣。""章炳麟《印度人之论国粹》""印度人于大地最为恺悌子谅，至今食不过炙卵，而肉羹则絶焉。""一■■即慈良。参阅《朱子全书》卷三七。"
子陵,1.严光的字。东汉馀姚人。曾与汉光武帝刘秀同游学，刘秀即位后，改名隐居，后被召至京师洛阳，授谏议大夫，不受而退隐于富春山。
子陵濑,1.即子陵滩。
子陵台,1.东汉严子陵隐居钓鱼处。在浙江桐庐县南富春山腰间，有东西两台，各高百余米。东称严子陵钓台，西是宋末谢翱哭文天祥处。
子陵滩,1.即七里滩。又名七里濑﹑严陵濑。富春江的一段。北岸富春山(严陵山)相传为东汉严光隐居垂钓处。
子陵溪,1.即子陵滩。
子路,"1.仲由的字。春秋时鲁国卞人，孔子弟子。性情直爽，勇敢，事亲孝闻过则喜，长于政治。曾为季孙氏家臣，后任卫大夫孔悝邑宰，在贵族内讧中被杀害。 
2.后作为勇士的代称。 
3.熊的别名。"
子麻,1.大麻的雌株。也叫苴麻。
